id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2022-03-11;12276.73579167
S;Sul;2022-03-11;13767.50341667
SE;Sudeste/Centro-Oeste;2022-03-11;47335.57970833
N;Norte;2022-03-12;5721.79525000
NE;Nordeste;2022-03-12;11816.92504167
S;Sul;2022-03-12;11014.99829167
SE;Sudeste/Centro-Oeste;2022-03-12;43022.32766667
N;Norte;2022-03-13;5457.78508333
NE;Nordeste;2022-03-13;11053.02316667
S;Sul;2022-03-13;9496.60404167
SE;Sudeste/Centro-Oeste;2022-03-13;39058.69337500
N;Norte;2022-03-14;5869.85666667
NE;Nordeste;2022-03-14;12128.03108333
S;Sul;2022-03-14;12362.05991667
SE;Sudeste/Centro-Oeste;2022-03-14;45028.53079167
N;Norte;2022-03-15;5761.08087500
NE;Nordeste;2022-03-15;12321.20437500
S;Sul;2022-03-15;12955.04679167
SE;Sudeste/Centro-Oeste;2022-03-15;45509.77787500
N;Norte;2022-03-16;5748.26658333
NE;Nordeste;2022-03-16;12237.53733333
S;Sul;2022-03-16;12945.71195833
SE;Sudeste/Centro-Oeste;2022-03-16;45713.06525000
N;Norte;2022-03-17;5824.88462500
NE;Nordeste;2022-03-17;11937.33925000
S;Sul;2022-03-17;13332.61545833
SE;Sudeste/Centro-Oeste;2022-03-17;46536.90400000
N;Norte;2022-03-18;5807.78012500
NE;Nordeste;2022-03-18;11710.76758333
S;Sul;2022-03-18;14198.56295833
SE;Sudeste/Centro-Oeste;2022-03-18;47444.68095833
N;Norte;2022-03-19;5541.81533333
NE;Nordeste;2022-03-19;11020.36795833
S;Sul;2022-03-19;11296.96458333
SE;Sudeste/Centro-Oeste;2022-03-19;43207.99145833
N;Norte;2022-03-20;5289.30137500
NE;Nordeste;2022-03-20;10501.35791667
S;Sul;2022-03-20;9206.60045833
SE;Sudeste/Centro-Oeste;2022-03-20;38018.48495833
N;Norte;2022-03-21;5820.27400000
NE;Nordeste;2022-03-21;11665.77962500
S;Sul;2022-03-21;11830.31037500
SE;Sudeste/Centro-Oeste;2022-03-21;41910.10625000
N;Norte;2022-03-22;5979.44445833
NE;Nordeste;2022-03-22;11452.51116667
S;Sul;2022-03-22;12475.77254167
SE;Sudeste/Centro-Oeste;2022-03-22;42302.48820833
N;Norte;2022-03-23;5888.24904167
NE;Nordeste;2022-03-23;11598.19462500
S;Sul;2022-03-23;12928.44620833
SE;Sudeste/Centro-Oeste;2022-03-23;43709.44550000
N;Norte;2022-03-24;5931.11462500
NE;Nordeste;2022-03-24;11765.51416667
S;Sul;2022-03-24;12481.91258333
SE;Sudeste/Centro-Oeste;2022-03-24;45022.29337500
N;Norte;2022-03-25;5923.20270833
NE;Nordeste;2022-03-25;11345.84550000
S;Sul;2022-03-25;11564.96150000
SE;Sudeste/Centro-Oeste;2022-03-25;46047.97312500
N;Norte;2022-03-26;5739.87950000
NE;Nordeste;2022-03-26;10941.26779167
S;Sul;2022-03-26;9796.23133333
SE;Sudeste/Centro-Oeste;2022-03-26;42646.04841667
N;Norte;2022-03-27;5488.82141667
NE;Nordeste;2022-03-27;10172.92433333
S;Sul;2022-03-27;8644.74808333
SE;Sudeste/Centro-Oeste;2022-03-27;38885.16354167
N;Norte;2022-03-28;5695.23700000
NE;Nordeste;2022-03-28;11152.55691667
S;Sul;2022-03-28;12049.43887500
SE;Sudeste/Centro-Oeste;2022-03-28;44597.61775000
N;Norte;2022-03-29;5578.09479167
NE;Nordeste;2022-03-29;11355.95625000
S;Sul;2022-03-29;12864.37379167
SE;Sudeste/Centro-Oeste;2022-03-29;45177.90062500
N;Norte;2022-03-30;5505.20533333
NE;Nordeste;2022-03-30;11541.38141667
S;Sul;2022-03-30;12801.83000000
SE;Sudeste/Centro-Oeste;2022-03-30;46139.12566667
N;Norte;2022-03-31;5738.89183333
NE;Nordeste;2022-03-31;11746.00325000
S;Sul;2022-03-31;11890.73770833
SE;Sudeste/Centro-Oeste;2022-03-31;45055.92791667
N;Norte;2022-04-01;5911.92375000
NE;Nordeste;2022-04-01;11781.16354167
S;Sul;2022-04-01;11762.59358333
SE;Sudeste/Centro-Oeste;2022-04-01;42379.95629167
N;Norte;2022-04-02;5537.62608333
NE;Nordeste;2022-04-02;11035.61208333
S;Sul;2022-04-02;10305.34875000
SE;Sudeste/Centro-Oeste;2022-04-02;38904.95375000
N;Norte;2022-04-03;5216.23683333
NE;Nordeste;2022-04-03;10240.02295833
S;Sul;2022-04-03;9318.59433333
SE;Sudeste/Centro-Oeste;2022-04-03;36282.32008333
N;Norte;2022-04-04;5792.36087500
NE;Nordeste;2022-04-04;11344.68475000
S;Sul;2022-04-04;12069.14287500
