id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2024-03-26;7604.13020833
NE;Nordeste;2024-03-26;14079.56845833
S;Sul;2024-03-26;14935.07416667
SE;Sudeste/Centro-Oeste;2024-03-26;45221.26537500
N;Norte;2024-03-27;7692.52179167
NE;Nordeste;2024-03-27;13972.60654167
S;Sul;2024-03-27;14962.74241667
SE;Sudeste/Centro-Oeste;2024-03-27;44327.22191667
N;Norte;2024-03-28;7277.70475000
NE;Nordeste;2024-03-28;13171.08529167
S;Sul;2024-03-28;15399.22920833
SE;Sudeste/Centro-Oeste;2024-03-28;43959.12441667
N;Norte;2024-03-29;6735.12929167
NE;Nordeste;2024-03-29;12091.62666667
S;Sul;2024-03-29;12119.68770833
SE;Sudeste/Centro-Oeste;2024-03-29;39041.09675000
N;Norte;2024-03-30;7061.51012500
NE;Nordeste;2024-03-30;12712.09033333
S;Sul;2024-03-30;12297.96466667
SE;Sudeste/Centro-Oeste;2024-03-30;40654.91216667
N;Norte;2024-03-31;7082.19033333
NE;Nordeste;2024-03-31;12293.93995833
S;Sul;2024-03-31;11871.30975000
SE;Sudeste/Centro-Oeste;2024-03-31;38678.60008333
N;Norte;2024-04-01;7615.02391667
NE;Nordeste;2024-04-01;13886.52316667
S;Sul;2024-04-01;15597.02937500
SE;Sudeste/Centro-Oeste;2024-04-01;45272.88979167
N;Norte;2024-04-02;7601.71604167
NE;Nordeste;2024-04-02;14433.83929167
S;Sul;2024-04-02;15712.90058333
SE;Sudeste/Centro-Oeste;2024-04-02;47154.55912500
N;Norte;2024-04-03;7616.57145833
NE;Nordeste;2024-04-03;14187.35387500
S;Sul;2024-04-03;15744.73129167
SE;Sudeste/Centro-Oeste;2024-04-03;47561.93979167
N;Norte;2024-04-04;7580.68858333
NE;Nordeste;2024-04-04;13855.92625000
S;Sul;2024-04-04;15799.78708333
SE;Sudeste/Centro-Oeste;2024-04-04;48267.06191667
N;Norte;2024-04-05;7381.96433333
NE;Nordeste;2024-04-05;13336.76587500
S;Sul;2024-04-05;15073.37300000
SE;Sudeste/Centro-Oeste;2024-04-05;48347.90562500
N;Norte;2024-04-06;7078.73712500
NE;Nordeste;2024-04-06;12547.83162500
S;Sul;2024-04-06;13070.52025000
SE;Sudeste/Centro-Oeste;2024-04-06;43797.01662500
N;Norte;2024-04-07;6859.68033333
NE;Nordeste;2024-04-07;11876.86950000
S;Sul;2024-04-07;11150.56420833
