id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2023-05-02;40676.18175000
N;Norte;2023-05-03;7054.07754167
NE;Nordeste;2023-05-03;12114.66466667
S;Sul;2023-05-03;13375.72375000
SE;Sudeste/Centro-Oeste;2023-05-03;41848.91058333
N;Norte;2023-05-04;7050.50566667
NE;Nordeste;2023-05-04;12213.48833333
S;Sul;2023-05-04;13260.36854167
SE;Sudeste/Centro-Oeste;2023-05-04;42390.07883333
N;Norte;2023-05-05;7114.67150000
NE;Nordeste;2023-05-05;12175.39112500
S;Sul;2023-05-05;12991.48950000
SE;Sudeste/Centro-Oeste;2023-05-05;43045.20658333
N;Norte;2023-05-06;6900.49345833
NE;Nordeste;2023-05-06;11716.13683333
S;Sul;2023-05-06;10947.05653994
SE;Sudeste/Centro-Oeste;2023-05-06;39479.39187500
N;Norte;2023-05-07;6657.38483333
NE;Nordeste;2023-05-07;10960.32820833
S;Sul;2023-05-07;9701.62333333
SE;Sudeste/Centro-Oeste;2023-05-07;35830.17966667
N;Norte;2023-05-08;7321.07820833
NE;Nordeste;2023-05-08;12252.10583333
S;Sul;2023-05-08;12286.12675000
SE;Sudeste/Centro-Oeste;2023-05-08;41856.07620833
N;Norte;2023-05-09;7411.62441667
NE;Nordeste;2023-05-09;12484.11820833
S;Sul;2023-05-09;12205.23375000
SE;Sudeste/Centro-Oeste;2023-05-09;42895.27920833
N;Norte;2023-05-10;7458.45879167
NE;Nordeste;2023-05-10;12677.70487500
S;Sul;2023-05-10;12137.64020833
SE;Sudeste/Centro-Oeste;2023-05-10;42409.81875000
N;Norte;2023-05-11;7437.15262500
NE;Nordeste;2023-05-11;12826.80970833
S;Sul;2023-05-11;11946.35049627
SE;Sudeste/Centro-Oeste;2023-05-11;41754.81029167
N;Norte;2023-05-12;7438.65241667
NE;Nordeste;2023-05-12;12967.40391667
S;Sul;2023-05-12;12240.91720833
SE;Sudeste/Centro-Oeste;2023-05-12;41472.84545833
